pkg_order,num_actions,unique_actions,action_diversity,action_sequence_str,shop_id,shop_type_name_x,shop_status_name_x,shop__seniority_x,shop__categories_x,address__ward_name_x,address__district_name_x,address__province_name_x,shop_type_name_y,seniority_group,shop_status_name_y,shop__seniority_y,shop__categories_y,address__ward_name_y,address__district_name_y,address__province_name_y
1420407952,2,2,1.0,verifySessionPackage → privateNotePackage,6343c8bf-31bc-4b92-98f6-401f0a6e4cd1,Pro (B2C),Đang làm việc,33,"[""fashion_new""]",Phường An Lộc,Thị xã Bình Long,Bình Phước,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,33,"[""fashion_new""]",Phường An Lộc,Thị xã Bình Long,Bình Phước
1163925296,3,2,0.6666666666666666,verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage,65d57736-88d4-4003-a19a-4e820a6e4e64,Pro (B2C),Đang làm việc,16,,Phường Quỳnh Lôi,Quận Hai Bà Trưng,Hà Nội,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,16,,Phường Quỳnh Lôi,Quận Hai Bà Trưng,Hà Nội
1521130239,2,2,1.0,privateNotePackage → distributorCfmDeliver,61cb45d3-c34c-4c12-8666-1ce2e4aadd04,Pro (B2C),Đang làm việc,1,,Phường 16,Quận Gò Vấp,TP Hồ Chí Minh,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,1,,Phường 16,Quận Gò Vấp,TP Hồ Chí Minh
1523571361,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,61af5bb2-ce2c-4797-a44c-dddb0a6e4d57,Pro (B2C),Đang làm việc,43,"[""fashion_new""]",Phường Thành Công,Thành phố Buôn Ma Thuột,Đắk Lắk,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,43,"[""fashion_new""]",Phường Thành Công,Thành phố Buôn Ma Thuột,Đắk Lắk
1523864739,2,2,1.0,distributorCfmDeliver → verifySessionPackage,5b839699-c5dc-4a76-acd1-7aca0a0a0268,Pro (B2C),Đang làm việc,83,"[""fashion"",""family"",""technology""]",Phường Vĩnh Trại,Thành phố Lạng Sơn,Lạng Sơn,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,83,"[""fashion"",""family"",""technology""]",Phường Vĩnh Trại,Thành phố Lạng Sơn,Lạng Sơn
1525581245,2,2,1.0,verifySessionPackage → distributorCfmDeliver,34716117-9bc4-46a9-a828-bcfd88c29f8f,Standard (C2C),Đang làm việc,18,,Thị trấn Hiệp Phước,Huyện Nhơn Trạch,Đồng Nai,Standard (C2C),Nhóm 2 - Trung bình,Đang làm việc,18,,Thị trấn Hiệp Phước,Huyện Nhơn Trạch,Đồng Nai
1525904892,2,2,1.0,NVBCTakeAPhotoDelivery → distributorCfmDeliver,5aed1b46-2bb0-4282-85a0-491c0a0a020b,Standard (C2C),Đang làm việc,87,"[""fragile""]",Phường An Biên,Quận Lê Chân,Hải Phòng,Standard (C2C),Nhóm 3 - Lâu năm,Đang làm việc,87,"[""fragile""]",Phường An Biên,Quận Lê Chân,Hải Phòng
1526616488,3,2,0.6666666666666666,verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver,66fcb94b-d86c-41f0-936a-44ca0a6e4d75,Pro (B2C),Đang làm việc,8,,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,8,,Phường Đại Kim,Quận Hoàng Mai,Hà Nội
1516749085,2,2,1.0,verifySessionPackage → distributorCfmDeliver,6729915e-4858-4ce0-9f41-44500a6e4e64,Pro (B2C),Đang làm việc,7,,Xã Khả Phong,Huyện Kim Bảng,Hà Nam,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,7,,Xã Khả Phong,Huyện Kim Bảng,Hà Nam
1518511622,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,5f745c3b-c10c-41a9-be49-4ec60a6e4cd1,Pro (B2C),Đang làm việc,57,,Xã Cư Bao,Thị xã Buôn Hồ,Đắk Lắk,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,57,,Xã Cư Bao,Thị xã Buôn Hồ,Đắk Lắk
