sequence,count,length
putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill,74,6
putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,72,6
putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus,71,6
assignCodPicking -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,71,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,71,11
putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod,71,6
assignCodPicking -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,71,6
putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod,70,6
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill,70,6
assignCodPicking -> putPackages2Bag -> putInBox,70,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> importStationByDistributer,70,7
assignCodPicking -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,68,4
verifySessionBags -> privateNotePackage -> distributorCfmDeliver,66,3
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,64,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,63,7
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus,62,6
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod,62,6
assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,62,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,61,7
changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,61,4
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus,61,3
assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,60,6
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill,59,6
verifySessionBags -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,57,4
putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,57,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,56,10
verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,56,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,55,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning,55,5
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,55,6
verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer,55,4
putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus,54,6
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod,53,6
