sequence,count,length
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,24
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,33
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,11
assignCodPicking -> ScanPackageToBag -> RefundBill -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> verifySessionPackage -> verifySessionPackage,1,7
saveRealImportStation -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill,1,5
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,28
printfPackage -> verifySessionPackage -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,8
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,20
updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDeliverWorkshiftByCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> distributorCfmDeliver -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,1,13
updatePickWorkShiftPackage -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,1,11
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,24
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,1,8
changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,32
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> smartScaleScanningPackage -> cfmTransit -> TransferToBothBill -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,44
assignCodPicking -> saveRealImportStation -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,10
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill,1,7
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,1,19
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking,1,14
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,32
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,1,33
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit -> TransferToBothBill,1,43
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit,1,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> verifySessionBags -> saveIsfrageImages -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,1,35
assignCodPicking -> assignCodPicking -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,1,6
verifySessionPackage -> updateDeliverWorkshiftByCod -> privateNotePackage -> distributorCfmDeliver,1,4
confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,6
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,34
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,15
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,15
assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,20
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,13
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> verifySessionBags -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,37
cfmTransit -> TransferToBothBill -> saveIsfrageImages -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,6
PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking,1,35
changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,56
confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking,1,35
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> autoReassignDateDeliver -> delayPickPackageReason -> updateTmpPickingStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> ArrivePickingPoint -> updateTmpPickingStatus -> autoReassignDateDeliver -> delayPickPackageReason -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> updateTmpPickingStatus -> autoReassignDateDeliver -> delayPickPackageReason -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,1,72
assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> verifySessionPackage,1,8
changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,19
assignCodPicking -> printfPackage -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,1,6
assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,43
assignCodPicking -> putPackages2Bag -> smartScaleScanningPackage -> putInBox -> verifySessionPackage -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,8
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> verifySessionBags -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,1,34
assignCodPicking -> assignCodPicking -> putPackages2Bag -> smartScaleScanningPackage -> putInBox -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,1,9
privateNotePackage -> NVBCTakeAPhotoDelivery -> putInBox -> distributorCfmDeliver -> privateNotePackage,1,5
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,1,37
customerCommitmentLetter -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,1,5
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,31
distributorCfmDeliver -> distributorCfmDeliver -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus,1,5
PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,33
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> verifySessionBags -> TakeAPhotoReturnRequest -> TakeAPhotoReturnRequest -> TakeAPhotoReturnRequest -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,1,46
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod -> cfmTransit -> TransferToBothBill -> printfPackage -> saveIsfrageImages -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,18
ScanPackageToBag -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning,1,6
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> ScanPackageToBag -> ImportPkgCheckIn -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> distributorCfmReturning -> takeReturningPackages,1,15
scanPackageCreateBagB2C -> smartScaleScanningPackage -> putPackages2TmpBag -> putPackages2Bag -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,1,8
distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod,1,10
