action_sequence_str,count
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage → printfPackage,1
distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → takeDeliveringPackages → verifySessionPackage,1
saveIsfrageImages → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
verifySessionPackage → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → smartScaleScanningPackage → distributorCfmDeliver,1
confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → smartScaleScanningPackage → saveIsfrageImages → putInBox,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver → checkPackageSealScanned → saveIsfrageImages → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver,1
verifySessionPackage → changeDelieverCartId → changeCustomerFirstAddress → changeCustomerLastAddress → changeTransferStation → editPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → privateNotePackage,1
verifySessionPackage → NVBCTakeAPhotoDelivery,1
assignCodPicking → PickupBill → confirmTmpPickedPackageStatus → PickupCrossProvinceBill → updatePickedByCod → putPackages2Bag → putPackages2Bag → smartScaleScanningPackage → smartScaleScanningPackage → assignBagWithIdentifyBag,1
feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver,1
distributorCfmDeliver → saveIsfrageImages,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,1
saveIsfrageImages → confirmTmpDeliveredPackageStatus → RefundBill,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → privateNotePackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver → privateNotePackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → verifySessionPackage → verifySessionPackage → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → smartScaleScanningPackage → distributorCfmDeliver,1
privateNotePackage → updateDeliverWorkShiftPackage → privateNotePackage → privateNotePackage,1
ImportPkgCheckIn → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → ScanPackageToBag,1
distributorCfmDeliver → NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDeliverCod → editPackage → NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → NVBCConfirmImageWorkshift → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDeliverWorkshiftByCod → saveIsfrageImages → privateNotePackage → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → editPackage → updateDeliverCod,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → privateNotePackage → privateNotePackage → verifySessionPackage → privateNotePackage → privateNotePackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
ReturnBill → confirmTmpReturnedPackageStatus → updateReturnedByCod,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → confirmPackageHandover,1
distributorCfmDeliver → printfPackage → updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → saveIsfrageImages,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill,1
verifySessionPackage → smartScaleScanningPackage → smartScaleScanningPackage → smartScaleScanningPackage → smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,1
verifySessionPackage → NVBCTakeAPhotoDelivery → checkPackageSealScanned → checkPackageSealScanned → checkPackageSealScanned → checkPackageSealScanned → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → saveIsfrageImages → putInBox,1
privateNotePackage → reassignDeliverCart → updateDeliverWorkShiftPackage,1
verifySessionPackage → distributorCfmDeliver → putPackages2Bag → assignBagWithIdentifyBag,1
assignCodPicking → confirmTmpPickedPackageStatus → updatePickedByCod → PickupBill → PickupCrossProvinceBill → putPackages2Bag → smartScaleScanningPackage → smartScaleScanningPackage → takeOutPackages2Bag → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → NVBCTakeAPhotoDelivery → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
confirmTmpPickedPackageStatus → PickupBill → updateDelayPickingByCod → confirmTmpPickedPackageStatus → updateDelayPickingByCod → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus → PickupCrossProvinceBill → PickupBill,1
printfPackage → verifySessionPackage → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → updateDeliveredCompletelyByCod → Refund_payment_qrBill,1
privateNotePackage → changeAttributeForSurplus → updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
ImportPkgCheckIn → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
TakeAPhotoSignatureTiktokPackage → DteamTakeAPhotoDeliver → confirmTmpDeliveredPostOffice → updateTmpDeliveredPostOffice → RefundBill,1
smartScaleScanningPackage → requestHandOverPackages → distributorCfmDeliver → smartScaleScanningPackage,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
printfPackage → updateDeliverWorkshiftByCod → privateNotePackage → TakeAPhotoSignatureTiktokPackage → DteamTakeAPhotoDeliver → updateTmpDeliveredPostOffice → RefundBill → confirmTmpDeliveredPostOffice,1
updateDeliverWorkshiftByCod → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
PickupBill → confirmTmpPickedPackageStatus → updateDelayPickingByCod → PickupBill → confirmTmpPickedPackageStatus → updatePickedByCod → PickupCrossProvinceBill,1
distributorCfmDeliver → privateNotePackage → changePackageStatus → RefundBill → confirmPackageHandover,1
verifySessionPackage → editPackage → changeCustomerFirstAddress → changeDelieverCartId → changeCustomerLastAddress → smartScaleScanningPackage → printfPackage → printfPackage → printfPackage,1
verifySessionPackage → distributorCfmDeliver → printfPackage,1
takeDeliveringPackages → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
smartScaleScanningPackage → smartScaleScanningPackage → requestHandOverPackages → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
updateDeliverWorkshiftByCod → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
updateDeliverWorkShiftPackage → privateNotePackage → privateNotePackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → privateNotePackage → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,1
NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
verifySessionPackage → smartScaleScanningPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → confirmPackageHandover,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → ChangeDeliverCodByConfirmDeliveringByOperator → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → changeAttributeForSurplus → NVBCTakeAPhotoDelivery → updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
distributorCfmDeliver → distributorCfmDeliver → privateNotePackage → privateNotePackage,1
privateNotePackage → smartScaleScanningPackage → putPackages2Bag → putInBox,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → privateNotePackage,1
distributorCfmReturning → importStationByDistributer,1
assignCodPicking → PickupBill → confirmTmpPickedPackageStatus → updateDelayPickingByCod,1
privateNotePackage → updateDeliverWorkshiftByCod → saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
privateNotePackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → NVBCConfirmImageWorkshift → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod,1
distributorCfmDeliver → NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → saveIsfrageImages → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver,1
changePackageStatus → assignCodPicking → updateDelayPickingByCod → confirmTmpPickedPackageStatus → PickupBill → assignCodPicking → updatePickedByCod → PickupBill → confirmTmpPickedPackageStatus → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → saveIsfrageImages → verifySessionPackage → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → confirmPackageHandover,1
verifySessionPackage → updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → verifySessionPackage → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → privateNotePackage,1
updateDelayPickingByCod → PickupBill → confirmTmpPickedPackageStatus,1
saveIsfrageImages → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
distributorCfmDeliver → privateNotePackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → privateNotePackage,1
updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → verifySessionPackage → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → printfPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
TakeAPhotoSignatureTiktokPackage → DteamTakeAPhotoDeliver → RefundBill → updateTmpDeliveredPostOffice → confirmTmpDeliveredPostOffice,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
updatePickedByCod → confirmTmpPickedPackageStatus → PickupBill,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → NVBCTakeAPhotoDelivery → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → NVBCTakeAPhotoDelivery → distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
distributorCfmDeliver → distributorCfmDeliver → saveIsfrageImages → distributorCfmDeliver → distributorCfmDeliver,1
takeDeliveringPackages → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod,1
verifySessionPackage → verifySessionPackage → editPackage → changeCustomerFirstAddress → changeCustomerLastAddress → changeDelieverCartId → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → distributorCfmDeliver,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
saveIsfrageImages → distributorCfmDeliver → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → distributorCfmDeliver → confirmChangeAddress,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → distributorCfmDeliver → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → privateNotePackage,1
privateNotePackage → editPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverCod → editPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,1
ReturnBill → updateReturnedByCod → confirmTmpReturnedPackageStatus,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → Refund_payment_qrBill,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
NVBCTakeAPhotoDelivery → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → TakeAPhotoPicked → saveSealForSpecialPackage → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → NVBCConfirmImageWorkshift,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → saveIsfrageImages → privateNotePackage → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
updateReturnedByCod → confirmTmpReturnedPackageStatus → ReturnBill,1
privateNotePackage → updateDeliverCod → editPackage,1
privateNotePackage → changeAttributeForSurplus → updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → saveIsfrageImages,1
assignCodPicking → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus → PickupCrossProvinceBill,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → changePackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver → distributorCfmDeliver → printfPackage,1
privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → putInBox,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → changePackageStatus → RefundBill → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
printfPackage → privateNotePackage → changeAttributeForSurplus → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
distributorCfmDeliver → ChangeDeliverCodByConfirmDeliveringByOperator → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
smartScaleScanningPackage → smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,1
distributorCfmDeliver → distributorCfmDeliver → saveIsfrageImages → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
privateNotePackage → distributorCfmDeliver → privateNotePackage → distributorCfmDeliver → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
