count,from_action,to_action
98,ArrivePickingPoint,autoReassignDateDeliver
96,assignCodPicking,ReturnBill
95,distributorCfmDeliver,updateDeliverCod
95,autoReassignDateDeliver,delayPickPackageReason
90,smartScaleScanningPackage,smartScaleScanningPackage
89,TransferToBothBill,verifySessionBags
88,TakeAPhotoReturnRequest,TakeAPhotoReturnRequest
87,updateTmpPickingStatus,autoReassignDateDeliver
86,TransferToBothBill,confirmTmpReturnedPackageStatus
84,assignCodPicking,takeReturningPackages
83,verifySessionPackage,putPackages2Bag
83,assignCodPicking,ScanPackageToBag
82,PickupBill,updateReturnedByCod
81,distributorCfmDeliver,confirmTmpDeliveredPackageStatus
80,ImportPkgCheckIn,updateDelayDeliveringByCod
80,verifySessionPackage,updateReturnedByCod
77,verifySessionPackage,confirmTmpReturnedPackageStatus
77,assignCodPicking,cfmImpPkgFrPONew
75,NVBCTakeAPhotoDelivery,distributorCfmDeliver
75,smartScaleScanningPackage,assignBagWithIdentifyBag
74,PickupBill,confirmTmpReturnedPackageStatus
71,assignCodPicking,printfPackage
71,ImportPkgCheckIn,confirmTmpDeliveredPackageStatus
70,PickupBill,distributorCfmReturning
69,TransferToBothBill,updateReturnedByCod
68,verifySessionPackage,saveIsfrageImages
68,verifySessionPackage,ReturnBill
68,updateDelayPickingByCod,verifySessionBags
67,RefundBill,verifySessionPackage
63,ArriveDeliveringPoint,updateTmpDeliveringStatus
62,importStationByDistributer,ReturnBill
61,confirmTmpPickedPackageStatus,verifySessionBags
61,confirmTmpDelayReturningPackageStatus,ReturnBill
60,delayReturnPackageReason,updateTmpReturningStatus
59,ArrivePickingPoint,assignCodPicking
58,updateDelayReturningByCod,ReturnBill
58,updateTmpDeliveringStatus,confirmTmpDeliveredPackageStatus
58,confirmTmpDelayReturningPackageStatus,updateDelayReturningByCod
56,changeComingReturnCod,changeComingReturnCodAction
56,smartScaleScanningPackage,cfmTransit
54,changePackageStatus,changePackageStatus
51,putInBox,PickupCrossProvinceBill
51,verifySessionPackage,changeComingReturnCod
51,PickupBill,importStationByDistributer
51,changeComingReturnCodAction,smartScaleScanningPackage
50,confirmTmpPickedPackageStatus,distributorCfmReturning
49,updatePickedByCod,distributorCfmReturning
49,distributorCfmDeliver,RefundBill
49,RefundBill,privateNotePackage
49,changeComingReturnCodAction,changeComingReturnCod
49,updateDelayDeliveringByCod,verifySessionPackage
48,putInBox,updatePickedByCod
47,ImportPkgCheckIn,ImportPkgCheckIn
47,confirmTmpPickedPackageStatus,updateReturnedByCod
46,PickupCrossProvinceBill,confirmTmpReturnedPackageStatus
45,confirmTmpDeliveredPackageStatus,updateNotDeliveredByCod
45,verifySessionPackage,changeComingReturnCodAction
44,distributorCfmDeliver,updateDelayDeliveringByCod
44,updateDelayReturningByCod,confirmTmpDelayReturningPackageStatus
44,updateTmpPickingStatus,updateDelayPickingByCod
44,privateNotePackage,updateDeliverWorkshiftByCod
44,updateTmpReturningStatus,delayReturnPackageReason
43,assignBagWithIdentifyBag,importStationByDistributer
43,TransferToBothBill,ReturnBill
43,updateNotDeliveredByCod,RefundBill
43,ImportPkgCheckIn,RefundBill
42,changeComingReturnCod,smartScaleScanningPackage
42,updatePickedByCod,importStationByDistributer
42,ScanPackageToBag,verifySessionPackage
