count,from_action,to_action
3,confirmPackageHandover,privateNotePackage
3,updateDelayPickingByCod,cfmImpPkgFrPONew
3,changePackageStatus,updateDeliverAddressCart
3,changeAlias,changePackageStatus
3,TransferToBothBill,privateNotePackage
3,delayPickPackageReason,assignCodPicking
3,verifySessionPackage,updateStationReturnCart
3,changePackageStatus,changeCart
3,verifySessionPackage,PkBusReportMissingPackage
3,updatePickAddressCart,changeCart
3,changeCustomerLastAddress,editPackage
3,changeTransferStation,editPackage
3,putPackages2TmpBag,PickupBill
3,changeDelieverCartId,changeCustomerLastAddress
3,updateDeliveredCompletelyByCod,RefundBill
3,confirmTmpDeliveredPackageStatus,updateDeliveredCompletelyByCod
3,assignBagWithIdentifyBag,printfPackage
3,updateDelayPickingByCod,PickupCrossProvinceBill
3,verifySessionPackage,updateReturnCart
3,assignCodPicking,PrepaymentBill
3,TransferToBothBill,changeCurStationBagSurplus
3,updateDeliverWorkShiftPackage,updateDeliverWorkshiftByCod
3,RefundBill,saveIsfrageImages
3,RefundBill,RefundBill
3,PickupCrossProvinceBill,privateNotePackage
3,confirmTmpDelayReturningPackageStatus,updateReturnedByCod
3,printfPackage,updateReturnedByCod
3,confirmTmpPickedPackageStatus,saveRealImportStation
3,approvedPackage,assignCodPicking
3,updatePickAddressCart,approvedPackage
3,updateDeliverAddressCart,updatePickAddressCart
3,changePackageStatus,printfPackage
3,cfmImportV4JobQ,TransferToBothAcceptBill
3,NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER,verifySessionPackage
3,updateDelayDeliveringByCod,updateDelayDeliveringByCod
3,changeCodForPackagesInCart,TakeAPhotoReturnRequest
3,verifySessionPackage,updateNotDeliveredByCod
3,verifySessionBags,reassignDeliverCart
3,PickupCrossProvinceBill,distributorCfmDeliver
3,updatePickedByCod,printfPackage
3,scanBox,importDestinationBox
3,importDestinationBox,confirmImportBox
3,confirmTmpDeliveredPackageStatus,NVBCTakeAPhotoDelivery
3,NVBCTakeAPhotoDelivery,putInBox
3,assignCodPicking,confirmTmpDeliveredPackageStatus
3,updateDelayPickingByCod,TakeAPhotoPicked
3,distributorCfmReturning,distributorCfmReturning
3,importStationByDistributer,importStationByDistributer
3,privateNotePackage,ReturnBill
3,changeDelieverCartId,editPackage
3,saveSealForSpecialPackage,TakeAPhotoPicked
3,changeAttributeForSurplus,updateDeliverWorkshiftByCod
3,confirmTmpDeliveredPackageStatus,putPackages2Bag
3,verifySessionPackage,NVBCTakeAPhotoDelivery
3,verifySessionPackage,changePackageStatus
3,updatePickedByCod,smartScaleScanningPackage
3,changeTransferStationByChangeCart,updateDeliverAddressCart
3,changePackageStatus,distributorCfmDeliver
3,updatePickAddressCart,updateDeliverAddressCart
3,changePackageStatus,confirmPackageHandover
3,updateTmpPickingStatus,changeCodForPackagesInCart
3,RefundBill,ChangeDeliverCodByConfirmDeliveringByOperator
3,TransferToBothBill,saveIsfrageImages
3,assignCodPicking,cfmDonePrepaymnet
3,updatePickedByCod,ReturnBill
3,updateTmpPickingStatus,notPickedPackageReason
3,printfPackage,importStationByDistributer
3,verifySessionBags,printfPackage
3,TransferToBothBill,putPackageIntoRc
3,updateTmpReturningStatus,verifySessionPackage
3,TransferToBothBill,takeReturningPackages
3,PickupBill,takeReturningPackages
3,updateStationReturnCart,editPackage
3,distributorCfmDeliver,importStationByDistributer
3,editPackage,BlurredBarcode
3,distributorCfmDeliver,TakeAPhotoDeliveringTiktokPackage
3,assignCodPicking,putPackages2TmpBag
3,putPackageIntoRc,cfmTransit
3,verifySessionPackage,RefundBill
3,verifySessionBags,cfmTransit
3,smartScaleScanningPackage,privateNotePackage
3,putPackages2Bag,confirmTmpPickedPackageStatus
3,confirmTmpPickedPackageStatus,privateNotePackage
3,saveRealImportStation,PickupCrossProvinceBill
3,assignCodPicking,PkBusCheckinPackage
3,smartScaleScanningPackage,confirmTmpDelayReturningPackageStatus
3,TakeAPhotoPicked,updateTmpPickingStatus
3,changeTransferStation,printfPackage
3,ArrivePickingPoint,codConfirmWillPickup
3,changeTrfSorting,takeOutPackages2Bag
3,codConfirmWillPickup,shopSigningHandover
3,shopSigningHandover,saveSealForSpecialPackage
3,PickupBill,scanBox
3,cfmTransit,verifySessionBags
3,changeCustomerLastAddress,changeDelieverCartId
3,changeCart,printfPackage
2,ArrivePickingPoint,updateDelayPickingByCod
2,confirmTmpPickedPackageStatus,updatePickWorkShiftPackage
2,TransferToBothAcceptBill,distributorCfmDeliver
2,TakeAPhotoCheckBox,smartScaleScanningPackage
2,verifySessionPackage,TakeAPhotoCheckBox
2,updateDeliverCod,updateNotDeliveredByCod
2,takeOutPackages2Bag,privateNotePackage
2,changeTransferStation,changeCustomerLastAddress
2,ArrivePickingPoint,notPickedPackageReason
2,editPackage,TakeAPhotoDeliveryPhotos
2,updateDeliverAddressCart,changeCart
2,updateTmpPickingStatus,PickupCrossProvinceBill
2,privateNotePackage,updateTmpReturningStatus
2,changePackageStatus,verifySessionPackage
2,notPickedPackageReason,updateTmpPickingStatus
2,smartScaleScanningPackage,scanPackageCreateBagB2C
2,TransferToBothBill,updateTmpReturningStatus
2,updateDeliverAddressCart,cfmTransit
2,verifySessionPackage,confirmTmpDelayReturningPackageStatus
2,distributorCfmDeliver,checkPackageBBS
2,verifySessionBags,updateDeliverWorkshiftByCod
2,TransferToBothBill,distributorCfmDeliver
2,PickupBill,changePickedCod
2,updateDeliverWorkShiftPackage,updateDeliverCod
2,updateDelayDeliveringByCod,editPackage
2,confirmPackageHandover,confirmPackageHandover
2,distributorCfmDeliver,updateDeliverWorkShiftPackage
2,updateDeliverWorkShiftPackage,putPackages2Bag
2,saveIsfrageImages,privateNotePackage
2,updateDeliverWorkShiftPackage,printfPackage
2,updateDeliverWorkshiftByCod,saveIsfrageImages
2,confirmTmpDeliveredPackageStatus,ChangeDeliverCodByConfirmDeliveringByOperator
2,cfmTransit,distributorCfmReturning
2,cfmTransit,updateReturnedByCod
2,confirmPackageHandover,RefundBill
2,updatePickAddressCart,changeAlias
2,updateTmpPickingStatus,ArrivePickingPoint
2,PickupCrossProvinceBill,smartScaleScanningPackage
2,distributorCfmDeliver,checkPackageSealScanned
2,updateDelayReturningByCod,importStationByDistributer
2,updatePickedByCod,scanBox
2,printfPackage,changeCodForPackagesInCart
2,autoReassignDateDeliver,changeCodForPackagesInCart
2,delayPickPackageReason,ArrivePickingPoint
2,privateNotePackage,updateNotDeliveredByCod
2,approvedPackage,changeAlias
2,printfPackage,updateDeliverWorkShiftPackage
2,PkBusCheckinPackage,ScanPackageToBag
2,verifySessionPackage,updateDelayReturningByCod
2,confirmTmpDelayReturningPackageStatus,smartScaleScanningPackage
2,confirmBigSizeQuantity,printfPackage
2,updateDeliverWorkShiftPackage,editPackage
2,printfPackage,ImportPkgCheckIn
2,saveSealForSpecialPackage,shopSigningHandover
2,assignCodPicking,saveRealImportStation
2,confirmTmpPickedPackageStatus,TakeAPhotoPicked
2,smartScaleScanningPackage,TransferToBothBill
2,takeReturningPackages,printfPackage
2,updateReturnCart,changeTrfSorting
2,changePickedCod,confirmTmpPickedPackageStatus
2,privateNotePackage,confirmTmpReturnedPackageStatus
2,confirmTmpDeliveredPackageStatus,confirmTmpDeliveredPackageStatus
2,printfPackage,confirmTmpDeliveredPackageStatus
2,changePackageStatus,TransferToBothBill
2,updateDeliverAddressCart,changePackageStatus
2,updateDeliverCod,updateDeliverWorkshiftByCod
2,PickupBill,changeCurStationBagSurplus
2,editPackage,updateDelayDeliveringByCod
2,shopSigningHandover,TakeAPhotoPicked
2,changePackageStatus,updatePickAddressCart
2,PrepaymentBill,cfmImpPkgFrPONew
2,NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER,putPackages2Bag
2,NVBCTakeAPhotoDelivery,editPackage
2,printfPackage,cfmDonePrepaymnet
2,updateDelayPickingByCod,printfPackage
2,PrepaymentBill,printfPackage
2,smartScaleScanningPackage,NVBCConfirmImageWorkshift
2,editPackage,changeAlias
2,changeDelieverCartId,changeTransferStation
2,RefundBill,updateReturnedByCod
2,verifySessionPackage,putPackages2TmpBag
2,notPickedPackageReason,updateNotPickedByCod
2,verifySessionPackage,ImportPkgCheckIn
2,updateTmpPickingStatus,assignCodPicking
2,saveIsfrageImages,ReturnBill
2,ChangeDeliverCodByConfirmDeliveringByOperator,updateDelayDeliveringByCod
2,confirmPackageHandover,cfmTransit
2,TakeAPhotoPicked,cfmImpPkgFrPONew
2,verifySessionBags,confirmTmpDeliveredPackageStatus
2,Refund_payment_qrBill,updateDelayDeliveringByCod
2,updateReturnCart,editPackage
2,confirmImportBox,updateDeliverWorkshiftByCod
2,updateDeliverCod,updateDeliverCod
2,RefundBill,editPackage
2,privateNotePackage,DteamTakeAPhotoDeliver
2,updateDelayPickingByCod,privateNotePackage
2,updateDeliverAddressCart,changeAlias
2,changeCodForPackagesInCart,cfmImpPkgFrPONew
2,updateDelayPickingByCod,saveSealForSpecialPackage
2,cfmTransit,confirmTmpReturnedPackageStatus
2,RefundBill,printfPackage
2,privateNotePackage,reassignDeliverCart
2,feedbackCancelPackage,RefundBill
2,RefundBill,smartScaleScanningPackage
2,updateDeliverWorkshiftByCod,RefundBill
2,privateNotePackage,changeCustomerFirstAddress
2,changeCustomerLastAddress,changeCart
2,PickupBill,cfmImpPkgFrPONew
2,changeComingReturnCod,saveIsfrageImages
2,delayDeliverPackageReason,RefundBill
2,ArriveDeliveringPoint,BlurredBarcode
2,takeReturningPackages,confirmTmpDelayReturningPackageStatus
2,updateDeliverCod,DteamTakeAPhotoDeliver
2,updateDeliveredCompletelyByCod,confirmTmpDeliveredPackageStatus
2,verifySessionPackage,TakeAPhotoDeliveryPhotos
2,confirmTmpDeliveredPackageStatus,printfPackage
2,updatePickedByCod,takeReturningPackages
2,takeOutPackages2Bag,smartScaleScanningPackage
2,assignCodPicking,putPackageIntoRc
2,approvedPackage,updateDeliverAddressCart
2,changeCustomerFirstAddress,changeCustomerLastAddress
2,NVBCTakeAPhotoDelivery,updateDeliverCod
2,saveIsfrageImages,saveIsfrageImages
2,printfPackage,scanBox
2,confirmTmpPickedPackageStatus,cfmImpPkgFrPONew
2,TakeAPhotoCheckBagDestStation,verifySessionBags
2,confirmTmpDelayReturningPackageStatus,confirmTmpReturnedPackageStatus
2,updateTmpReturningStatus,smartScaleScanningPackage
2,delayReturnPackageReason,confirmTmpReturnedPackageStatus
2,takeReturningPackages,updateDelayReturningByCod
2,printPackageBBS,printfPackage
2,updateDelayPickingByCod,feedbackCancelPackage
2,ChangeDeliverCodByConfirmDeliveringByOperator,RefundBill
2,ScanPackageToBag,updateDelayDeliveringByCod
2,updatePickedByCod,saveRealImportStation
2,printfPackage,ReturnBill
2,takeOutPackages2Bag,distributorCfmDeliver
1,verifySessionPackage,exportBigSizePackages
1,ScanPackageToBag,distributorCfmReturning
1,changeTransferStationByChangeCart,printfPackage
1,updatePickWorkShiftPackage,smartScaleScanningPackage
1,changeCustomerFirstAddress,changeCart
1,customerCommitmentLetter,assignCodPicking
1,changeTrfSorting,NVBCConfirmImageWorkshift
1,TakeAPhotoDeliveringTiktokPackage,TakeAPhotoDeliveringTiktokPackage
1,RefundBill,scanBox
1,printfPackage,checkPackageBBS
1,updateDelayReturningByCod,printfPackage
1,smartScaleScanningPackage,takeReturningPackages
1,printfPackage,confirmTmpDelayReturningPackageStatus
1,approvedDeliveryDate,verifySessionBags
1,printfPackage,updateDeliverCod
1,confirmTmpDelayReturningPackageStatus,confirmTmpDelayReturningPackageStatus
1,updateDeliverWorkShiftPackage,cfmTransit
1,verifySessionPackage,TakeAPhotoSignatureTiktokPackage
1,updateDeliverWorkshiftByCod,checkPackageSealScanned
1,ReturnBill,printfPackage
1,RefundBill,updateDeliveredCompletelyByCod
1,assignCodPicking,saveSealForSpecialPackage
1,TakeAPhotoSignatureTiktokPackage,DteamTakeAPhotoDeliver
1,reassignDeliverCart,cfmTransit
1,updatePickedByCod,verifySessionBags
1,distributorCfmDeliver,distributorCfmReturning
1,changePackageStatus,changeCurStationBagSurplus
1,updateDeliverWorkshiftByCod,verifySessionPackage
1,exportBigSizePackages,distributorCfmDeliver
1,verifySessionPackage,TakeAPhotoReturn
1,TakeAPhotoReturn,distributorCfmReturning
1,autoReassignDateDeliver,ArrivePickingPoint
1,ArrivePickingPoint,confirmTmpPickedPackageStatus
1,updateDelayReturningByCod,confirmTmpReturnedPackageStatus
1,changeDelieverCartId,changeAlias
1,ScanPackageToBag,printfPackage
1,distributorCfmDeliver,changePackageStatus
1,cfmImpPkgFrPONew,confirmTmpReturnedPackageStatus
1,csCancelPackage,RefundBill
1,feedbackCancelPackage,csCancelPackage
1,editPackage,changeCart
1,cdbsod,feedbackCancelPackage
1,feedbackReDelivery,printfPackage
1,delayDeliverPackageReason,NVBCConfirmImageWorkshift
1,verifySessionBags,updateDelayDeliveringByCod
1,privateNotePackage,changeDelieverCartId
1,updateDelayDeliveringByCod,cfmTransit
1,ScanPackageToBag,ScanPackageToBag
1,updateStationReturnCart,changeTrfSorting
1,changePackageStatus,cdbsod
1,PickupBill,TakeAPhotoPicked
1,privateNotePackage,checkPackageSealScanned
1,distributorCfmDeliver,confirmChangeAddress
1,printfPackage,updateDeliveredCompletelyByCod
1,smartScaleScanningPackage,ChangePackageSize
1,confirmPackageHandover,changePackageStatus
1,confirmTmpDelayReturningPackageStatus,distributorCfmReturning
1,privateNotePackage,changeTrfSorting
1,editPackage,TakeAPhotoReturnRequest
1,changeCart,updatePickAddressCart
1,assignCodPicking,Refund_payment_qrBill
1,RefundBill,confirmPackageHandover
1,approvedPackage,changeCart
1,printfPackage,saveSealForSpecialPackage
1,editPackage,updateDeliverAddressCart
1,verifySessionPackage,changeCurStation
1,privateNotePackage,updateStationReturnCart
1,PickupCrossProvinceBill,saveRealImportStation
1,editPackage,distributorCfmReturning
1,putInBox,changeComingReturnCodAction
1,privateNotePackage,BlurredBarcode
1,ScanPackageToBag,changeComingReturnCodAction
1,changeAlias,updateDeliverAddressCart
1,confirmTmpDeliveredPackageStatus,confirmTmpReturnedPackageStatus
1,verifySessionPackage,NVBCConfirmImageWorkshift
1,TakeAPhotoCheckBagDestStation,changeCurStationBagSurplus
1,updateDelayDeliveringByCod,ChangeDeliverCodByConfirmDeliveringByOperator
1,updateDeliverWorkshiftByCod,printfPackage
1,reassignDeliverCart,distributorCfmDeliver
1,verifySessionPackage,putInBox
1,updateDeliverWorkshiftByCod,updatePickWorkShiftPackage
1,updateTmpPickingStatus,updateNotPickedByCod
1,updateDeliverWorkshiftByCod,changePackageStatus
1,Refund_paymentBill,confirmTmpDeliveredPackageStatus
1,updateDelayDeliveringByCod,ReturnBill
1,NVBCTakeAPhotoDelivery,RefundBill
1,changeTrfSorting,importStationByDistributer
1,updateDelayDeliveringByCod,distributorCfmReturning
1,smartScaleScanningPackage,changePackageStatus
1,verifySessionBags,changeCustomerFirstAddress
1,assignCodPicking,updateDeliverWorkShiftPackage
1,approvedPackage,PkBusCheckinPackage
1,changeTransferStationByChangeCart,changePackageStatus
1,printfPackage,ScanPackageToBag
1,confirmTmpDeliveredPackageStatus,updateDeliverWorkshiftByCod
1,saveIsfrageImages,updateDeliverWorkShiftPackage
1,updatePickShiftPackageSentAtPO,PickupBill
1,delayPickPackageReason,updatePickShiftPackageSentAtPO
1,TransferToBothBill,NVBCTakeAPhotoDelivery
1,changeAlias,printfPackage
1,saveIsfrageImages,putInBox
1,saveSealForSpecialPackage,putPackages2Bag
1,cfmDonePrepaymnet,updateReinforcedPackages
1,changeTrfSorting,smartScaleScanningPackage
1,updateDelayPickingByCod,takeReturningPackages
1,updatePickWorkShiftPackage,PickupBill
1,cfmImpPkgFrPONew,takeReturningPackages
1,verifySessionPackage,BlurredBarcode
1,RefundBill,updateDeliverCod
1,approvedPackage,updatePickAddressCart
1,updateDeliverWorkShiftPackage,confirmTmpDeliveredPackageStatus
1,changeCart,updateDeliverAddressCart
1,putPackages2Bag,confirmTmpReturnedPackageStatus
1,updateDeliverWorkshiftByCod,checkPackageBBS
1,editPackage,ChangeDeliverCodByConfirmDeliveringByOperator
1,Prepayment_qrBill,printfPackage
1,distributorCfmDeliver,reassignDeliverCart
1,updateTmpReturningStatus,updateReturnedByCod
1,assignCodPicking,delayReturnPackageReason
1,updateTfrSortingByVerifySessionBags,printfPackage
1,changeCurStationBagSurplus,updateTfrSortingByVerifySessionBags
1,verifySessionPackage,DteamTakeAPhotoDeliver
1,updatePickWorkShiftPackage,verifySessionPackage
1,changeCart,verifySessionPackage
1,verifySessionPackage,changeCart
1,updateTmpDeliveringStatus,CODUpdatePickMoney
1,assignCodPicking,TakeAPhotoPicked
1,CODUpdatePickMoney,confirmTmpDeliveredPackageStatus
1,putPackages2TmpBag,confirmTmpPickedPackageStatus
1,assignCodPicking,updateDelayDeliveringByCod
1,confirmIssueHandovers,updateDeliverWorkshiftByCod
1,updatePickWorkShiftPackage,cfmImpPkgFrPONew
1,confirmTmpDeliveredPackageStatus,updateReturnedByCod
1,scanPackageCreateBagB2C,unScanPackageCreateBagB2C
1,assignCodPicking,updateReinforcedPackages
1,putPackages2Bag,ReturnBill
1,updateDeliverAddressCart,changeTransferStationByChangeCart
1,updateNotDeliveredByCod,updateReturnedByCod
1,unScanPackageCreateBagB2C,scanPackageCreateBagB2C
1,updatePickedByCod,putPackages2TmpBag
1,PrepaymentBill,verifySessionPackage
1,changeAlias,changeTransferStation
1,putPackages2TmpBag,PickupCrossProvinceBill
1,updateNotDeliveredByCod,cfmTransit
1,confirmTmpDelayReturningPackageStatus,TakeAPhotoReturnRequest
1,updateDeliverWorkshiftByCod,TransferToBothBill
1,updateDeliverCod,cfmTransit
1,feedbackReDelivery,privateNotePackage
1,distributorCfmDeliver,saveIsfrageImages
1,changeCustomerFirstAddress,changeAlias
1,updateDelayDeliveringByCod,ImportPkgCheckIn
1,changePackageStatus,PickupCrossProvinceBill
1,changeDelieverCartId,changePackageStatus
1,updateDelayDeliveringByCod,saveIsfrageImages
1,changeAlias,updatePickAddressCart
1,changeCustomerFirstAddress,printfPackage
1,assignBagWithIdentifyBag,updateDeliverWorkShiftPackage
1,ScanPackageToBag,takeReturningPackages
1,takeOutPackages2Bag,changeTrfSorting
1,approvedPackage,updateDelayPickingByCod
1,updateDelayDeliveringByCod,updateDeliverWorkShiftPackage
1,confirmTmpDeliveredPackageStatus,Refund_paymentBill
1,privateNotePackage,changeCustomerLastAddress
1,approvedPackage,cfmTransit
1,printfPackage,PrepaymentBill
1,verifySessionBags,checkPackageSealScanned
1,privateNotePackage,changeTransferStation
1,changePackageStatus,Prepayment_qrBill
1,updateDelayPickingByCod,updatePickWorkShiftPackage
1,confirmTmpDelayReturningPackageStatus,saveIsfrageImages
1,verifySessionPackage,ArriveDeliveringPoint
1,editPackage,updatePickAddressCart
1,updateTmpDeliveringStatus,TakeAPhotoDeliveringTiktokPackage
1,ArriveDeliveringPoint,TakeAPhotoDeliveringTiktokPackage
1,privateNotePackage,takeReturningPackages
1,changeTrfSorting,printfPackage
1,ChangeDeliverCodByConfirmDeliveringByOperator,confirmTmpDeliveredPackageStatus
1,smartScaleScanningPackage,updateDelayPickingByCod
1,ChangeDeliverCodByConfirmDeliveringByOperator,distributorCfmDeliver
1,changePackageStatus,cfmImpPkgFrPONew
1,verifySessionPackage,updateDeliverCod
1,putInBox,putOutBox
1,RefundBill,feedbackCancelPackage
1,putOutBox,verifySessionPackage
1,ArriveDeliveringPoint,feedbackCancelPackage
1,changeCustomerFirstAddress,updateDeliverAddressCart
1,feedbackCancelPackage,cdbsod
1,putInBox,editPackage
1,saveIsfrageImages,NVBCConfirmImageWorkshift
1,checkPackageSealScanned,checkPackageSealScanned
1,RefundBill,checkPackageSealScanned
1,RefundBill,changeTrfSorting
1,printfPackage,updateDeliverWorkshiftByCod
1,editPackage,importStationByDistributer
1,updateDeliverWorkshiftByCod,NVBCTakeAPhotoDelivery
1,confirmTmpDeliveredPackageStatus,saveIsfrageImages
1,privateNotePackage,NVBCConfirmImageWorkshift
1,assignCodPicking,changeTrfSorting
1,changeAlias,changeDelieverCartId
1,changeTransferStation,changeAlias
1,updateTmpPickingStatus,updatePickShiftPackageSentAtPO
1,importStationByDistributer,printfPackage
1,distributorCfmDeliver,printPackageBBS
1,privateNotePackage,checkPackageBBS
1,verifySessionPackage,NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER
1,changePackageStatus,updatePickWorkShiftPackage
1,cdbsod,changePackageStatus
1,requestHandOverPackages,smartScaleScanningPackage
1,changePackageStatus,csCancelPackage
1,csCancelPackage,confirmTmpDeliveredPackageStatus
1,printfPackage,changePackageStatus
1,PickupCrossProvinceBill,changePickedCod
1,putPackages2Bag,PickupBill
1,assignBagWithIdentifyBag,verifySessionPackage
1,PickupBill,requestHandOverPackages
1,NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER,ScanPackageToBag
1,cfmImpPkgFrPONew,scanBox
1,smartScaleScanningPackage,distributorCfmDeliver
1,changeCustomerFirstAddress,distributorCfmDeliver
1,takeOutPackages2Bag,scanBox
1,updateNotDeliveredByCod,printfPackage
1,NVBCConfirmImageWorkshift,updateDeliveredCompletelyByCod
1,updateDelayPickingByCod,updateReinforcedPackages
1,changeTrfSorting,cfmTransit
1,updateDelayDeliveringByCod,updateDeliverWorkshiftByCod
1,smartScaleScanningPackage,changeComingReturnCodAction
1,updatePickedByCod,distributorCfmDeliver
1,updatePickAddressCart,changePackageStatus
1,assignCodPicking,updateTfrSortingByVerifySessionBags
1,printfPackage,editPackage
1,changeCurStation,printfPackage
1,approvedPackage,ScanPackageToBag
1,PickupBill,updateReinforcedPackages
1,saveIsfrageImages,printfPackage
1,confirmImportBox,distributorCfmDeliver
1,editPackage,confirmTmpReturnedPackageStatus
1,changeTrfSorting,changeTrfSorting
1,updateDelayPickingByCod,editPackage
1,smartScaleScanningPackage,printfPackage
1,distributorCfmDeliver,takeReturningPackages
1,updateTmpDeliveringStatus,NVBCConfirmImageWorkshift
1,updatePickedByCod,updateDeliverWorkshiftByCod
1,verifySessionBags,verifySessionPackage
1,delayReturnPackageReason,privateNotePackage
1,takeReturningPackages,updateTmpReturningStatus
1,updateTfrSortingByVerifySessionBags,verifySessionBags
1,changeCurStationBagSurplus,smartScaleScanningPackage
1,scanBox,confirmImportBox
1,putPackages2Bag,PickupCrossProvinceBill
1,saveRealImportStation,confirmTmpPickedPackageStatus
1,openPutToBag,RefundBill
1,updateDelayDeliveringByCod,openPutToBag
1,printfPackage,updateReturnCart
1,changeTrfSorting,updateStationReturnCart
1,ScanPackageToBag,putPackages2Bag
1,saveRealImportStation,updatePickedByCod
1,assignCodPicking,updateDeliverWorkshiftByCod
1,confirmImportBox,importDestinationBox
1,putPackages2Bag,updateReturnedByCod
1,updatePickShiftPackageSentAtPO,confirmTmpPickedPackageStatus
1,notPickedPackageReason,confirmTmpPickedPackageStatus
1,PkBusCheckinPackage,verifySessionPackage
1,changePackageStatus,updateReinforcedPackages
1,PickupCrossProvinceBill,editPackage
1,delayReturnPackageReason,printfPackage
1,confirmTmpPickedPackageStatus,feedbackCancelPackage
1,updateDelayDeliveringByCod,confirmTmpReturnedPackageStatus
1,ReturnBill,editPackage
1,PkBusCheckinPackage,PkBusCheckinPackage
1,changeAlias,changeCustomerFirstAddress
1,changeTransferStation,approvedPackage
1,ArrivePickingPoint,printfPackage
1,printfPackage,Prepayment_qrBill
1,putPackages2TmpBag,scanPackageCreateBagB2C
1,RefundBill,confirmTmpReturnedPackageStatus
1,RefundBill,NVBCTakeAPhotoDelivery
1,PickupCrossProvinceBill,updateDelayReturningByCod
1,PickupCrossProvinceBill,saveSealForSpecialPackage
1,ChangeDeliverCodByConfirmDeliveringByOperator,updateNotDeliveredByCod
1,putInBox,printfPackage
1,ReturnBill,ReturnBill
1,assignCodPicking,changeComingReturnCod
1,putInBox,privateNotePackage
1,ChangePackageSize,smartScaleScanningPackage
1,checkPackageSealScanned,distributorCfmDeliver
1,putPackages2Bag,ScanPackageToBag
1,changeTransferStationByChangeCart,cfmTransit
1,verifySessionBags,changeTransferStation
1,confirmTmpPickedPackageStatus,saveIsfrageImages
1,putInBox,updateDelayDeliveringByCod
1,cfmTransit,ReturnBill
1,assignBagWithIdentifyBag,privateNotePackage
1,updateDelayDeliveringByCod,changeComingReturnCod
1,updateDeliverWorkshiftByCod,editPackage
1,saveIsfrageImages,updateDeliverWorkshiftByCod
1,TransferToBothBill,updateDeliverWorkShiftPackage
1,reassignDeliverCart,printfPackage
1,verifySessionBags,editPackage
1,changeDelieverCartId,privateNotePackage
1,distributorCfmDeliver,verifySessionPackage
1,ScanPackageToBag,changeComingReturnCod
1,assignBagWithIdentifyBag,updateReturnedByCod
1,changeCustomerFirstAddress,changeTransferStationByChangeCart
1,assignBagWithIdentifyBag,verifySessionBags
1,distributorCfmDeliver,changeCurStation
1,privateNotePackage,saveSealForSpecialPackage
