pkg_order,action,username,length
1789971697,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver -> editPackage -> updateDeliverCod -> BlurredBarcode -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> CODUpdatePickMoney -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,13
1051432776,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1156748517,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1687610678,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1070045273,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1163040807,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1552327778,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1648512404,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1958399339,verifySessionPackage -> privateNotePackage -> distributorCfmDeliver,quanvc5,3
1334895983,verifySessionPackage -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,4
1632223961,verifySessionPackage -> privateNotePackage -> RefundBill -> changePackageStatus,quanvc5,4
1124462209,verifySessionPackage -> printfPackage -> privateNotePackage,quanvc5,3
3316723704,verifySessionPackage -> exportBigSizePackages -> distributorCfmDeliver,quanvc5,3
1546315682,verifySessionPackage -> editPackage -> updateDeliverCod -> updateDeliverWorkshiftByCod -> distributorCfmDeliver,quanvc5,5
1787798150,verifySessionPackage -> editPackage -> updateDeliverCod -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> delayDeliverPackageReason -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> cfmTransit -> TransferToBothBill,quanvc5,18
1228821813,verifySessionPackage -> editPackage -> changeCurStation,quanvc5,3
1391780716,verifySessionPackage -> editPackage -> changeCurStation,quanvc5,3
1074749903,verifySessionPackage -> editPackage -> changeCurStation,quanvc5,3
1097450275,verifySessionPackage -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,quanvc5,6
1481843824,verifySessionPackage -> distributorCfmDeliver -> updateNotDeliveredByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> privateNotePackage -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> privateNotePackage -> privateNotePackage,quanvc5,11
1841778551,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> printfPackage,quanvc5,5
4010360305,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> distributorCfmDeliver,quanvc5,5
1253717399,verifySessionPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill,quanvc5,7
